time,generation biomass,generation fossil brown coal/lignite,generation fossil coal-derived gas,generation fossil gas,generation fossil hard coal,generation fossil oil,generation fossil oil shale,generation fossil peat,generation geothermal,generation hydro pumped storage aggregated,generation hydro pumped storage consumption,generation hydro run-of-river and poundage,generation hydro water reservoir,generation marine,generation nuclear,generation other,generation other renewable,generation solar,generation waste,generation wind offshore,generation wind onshore,forecast solar day ahead,forecast wind offshore eday ahead,forecast wind onshore day ahead,total load forecast,total load actual,price day ahead,price actual
2015-01-01 00:00:00+01:00,447.0,329.0,0.0,4844.0,4821.0,162.0,0.0,0.0,0.0,,863.0,1051.0,1899.0,0.0,7096.0,43.0,73.0,49.0,196.0,0.0,6378.0,17.0,,6436.0,26118.0,25385.0,50.1,65.41
2015-01-01 01:00:00+01:00,449.0,328.0,0.0,5196.0,4755.0,158.0,0.0,0.0,0.0,,920.0,1009.0,1658.0,0.0,7096.0,43.0,71.0,50.0,195.0,0.0,5890.0,16.0,,5856.0,24934.0,24382.0,48.1,64.92
2015-01-01 02:00:00+01:00,448.0,323.0,0.0,4857.0,4581.0,157.0,0.0,0.0,0.0,,1164.0,973.0,1371.0,0.0,7099.0,43.0,73.0,50.0,196.0,0.0,5461.0,8.0,,5454.0,23515.0,22734.0,47.33,64.48
2015-01-01 03:00:00+01:00,438.0,254.0,0.0,4314.0,4131.0,160.0,0.0,0.0,0.0,,1503.0,949.0,779.0,0.0,7098.0,43.0,75.0,50.0,191.0,0.0,5238.0,2.0,,5151.0,22642.0,21286.0,42.27,59.32
2015-01-01 04:00:00+01:00,428.0,187.0,0.0,4130.0,3840.0,156.0,0.0,0.0,0.0,,1826.0,953.0,720.0,0.0,7097.0,43.0,74.0,42.0,189.0,0.0,4935.0,9.0,,4861.0,21785.0,20264.0,38.41,56.04
2015-01-01 05:00:00+01:00,410.0,178.0,0.0,4038.0,3590.0,156.0,0.0,0.0,0.0,,2109.0,952.0,743.0,0.0,7098.0,43.0,74.0,34.0,188.0,0.0,4618.0,4.0,,4617.0,21441.0,19905.0,35.72,53.63
2015-01-01 06:00:00+01:00,401.0,172.0,0.0,4040.0,3368.0,158.0,0.0,0.0,0.0,,2108.0,961.0,848.0,0.0,7098.0,43.0,74.0,34.0,186.0,0.0,4397.0,3.0,,4276.0,21285.0,20010.0,35.13,51.73
2015-01-01 07:00:00+01:00,408.0,172.0,0.0,4030.0,3208.0,160.0,0.0,0.0,0.0,,2031.0,983.0,1012.0,0.0,7099.0,43.0,72.0,35.0,189.0,0.0,3992.0,12.0,,3994.0,21545.0,20377.0,36.22,51.43
2015-01-01 08:00:00+01:00,413.0,177.0,0.0,4052.0,3335.0,161.0,0.0,0.0,0.0,,2119.0,1001.0,1015.0,0.0,7098.0,43.0,73.0,54.0,198.0,0.0,3629.0,39.0,,3602.0,21443.0,20094.0,32.4,48.98
2015-01-01 09:00:00+01:00,419.0,177.0,0.0,4137.0,3437.0,163.0,0.0,0.0,0.0,,2170.0,1041.0,1357.0,0.0,7097.0,43.0,74.0,743.0,198.0,0.0,3073.0,784.0,,3212.0,21560.0,20637.0,36.6,54.2
2015-01-01 10:00:00+01:00,422.0,173.0,0.0,4059.0,3516.0,167.0,0.0,0.0,0.0,,2020.0,1041.0,1817.0,0.0,7096.0,43.0,72.0,2019.0,204.0,0.0,2683.0,1996.0,,2617.0,22824.0,22250.0,43.1,58.94
2015-01-01 11:00:00+01:00,421.0,226.0,0.0,3931.0,3845.0,166.0,0.0,0.0,0.0,,1183.0,1069.0,1516.0,0.0,7097.0,42.0,73.0,3197.0,206.0,0.0,2771.0,2990.0,,2450.0,23720.0,23547.0,45.14,59.86
2015-01-01 12:00:00+01:00,428.0,303.0,0.0,3784.0,4220.0,167.0,0.0,0.0,0.0,,972.0,1052.0,1204.0,0.0,7097.0,41.0,75.0,3885.0,209.0,0.0,2906.0,3842.0,,2819.0,24180.0,24133.0,45.14,60.12
2015-01-01 13:00:00+01:00,425.0,288.0,0.0,3754.0,4404.0,167.0,0.0,0.0,0.0,,922.0,1041.0,1286.0,0.0,7099.0,40.0,74.0,4007.0,210.0,0.0,2923.0,3812.0,,2830.0,24797.0,24713.0,47.35,62.05
2015-01-01 14:00:00+01:00,423.0,260.0,0.0,3779.0,4256.0,166.0,0.0,0.0,0.0,,941.0,1028.0,1027.0,0.0,7097.0,40.0,76.0,3973.0,210.0,0.0,2945.0,3699.0,,2851.0,25222.0,24672.0,47.35,62.06
2015-01-01 15:00:00+01:00,421.0,183.0,0.0,3708.0,4038.0,160.0,0.0,0.0,0.0,,1069.0,1023.0,1151.0,0.0,7096.0,40.0,76.0,3818.0,210.0,0.0,2709.0,3369.0,,2822.0,24173.0,23528.0,43.61,59.76
2015-01-01 16:00:00+01:00,422.0,256.0,0.0,3813.0,4191.0,163.0,0.0,0.0,0.0,,970.0,1032.0,1156.0,0.0,7095.0,41.0,75.0,3088.0,211.0,0.0,2552.0,2615.0,,2562.0,23659.0,23118.0,44.91,61.18
2015-01-01 17:00:00+01:00,426.0,322.0,0.0,3967.0,4707.0,165.0,0.0,0.0,0.0,,798.0,1036.0,1626.0,0.0,7095.0,41.0,75.0,1467.0,208.0,0.0,2699.0,1387.0,,2578.0,23982.0,23606.0,48.1,64.74
2015-01-01 18:00:00+01:00,427.0,282.0,0.0,4756.0,4756.0,164.0,0.0,0.0,0.0,,1.0,1094.0,3203.0,0.0,7096.0,42.0,74.0,404.0,209.0,0.0,2764.0,399.0,,2824.0,26981.0,26447.0,58.02,74.26
